Title,Year,Rating,Duration (minutes),Rating Amount,Group
Hit Man,2023,7.0,115,50,R
Bad Boys: Ride or Die,2024,7.0,115,23,R
Inside Out 2,2024,8.0,96,30,PG
Furiosa: A Mad Max Saga,2024,7.8,148,89,R
Under Paris,2024,5.2,104,20,TV-MA
The Watchers,2024,5.8,102,0,PG-13
The Fall Guy,2024,7.0,126,106,PG-13
Godzilla Minus One,2023,7.8,124,123,PG-13
Civil War,2024,7.2,109,117,R
Inside Out,2015,8.1,95,798,PG
Dune: Part Two,2024,8.6,166,455,PG-13
Kingdom of the Planet of the Apes,2024,7.2,145,54,PG-13
The Strangers: Chapter 1,2024,4.7,91,12,R
Munjya,2024,7.4,123,13,R
Challengers,2024,7.3,131,71,R
Deadpool & Wolverine,2024,,127,0,R
The Bikeriders,2023,7.3,116,0,R
Mad Max: Fury Road,2015,8.1,120,95,R
Anyone But You,2023,6.1,103,37,R
The First Omen,2024,6.5,119,18,PG
IF,2024,6.6,104,0,R
Am I OK?,2022,6.1,86,0,R
Kinds of Kindness,2024,7.0,164,46,R
The Ministry of Ungentlemanly Warfare,2024,6.9,120,42,PG-13
Atlas,2024,5.6,118,76,PG-13
Godzilla x Kong: The New Empire,2024,6.2,115,179,R
Bad Boys for Life,2020,6.5,124,292,R
MaXXXine,2024,,103,874,R
Alien: Romulus,2024,,0,0,R
Bad Boys,1995,6.8,119,9,PG
Horizon: An American Saga - Chapter 1,2024,7.7,181,0,PG-13
The Garfield Movie,2024,5.8,101,48,R
I Saw the TV Glow,2024,6.1,100,757,R
Brats,2024,6.7,92,45,R
Paddington in Peru,2024,,115,181,PG
The Idea of You,2024,6.4,180,47,R
Venom: The Last Dance,2024,,109,881,PG-13
Oppenheimer,2023,8.3,113,277,R
Abigail,2024,6.6,127,0,PG-13
Wonder,2017,7.9,155,59,Not Rated
Presumed Innocent,1990,6.9,141,75,R
Dune,2021,8.0,110,129,R
Poor Things,2023,7.9,94,179,PG-13
Space Cadet,2024,,93,28,R
In a Violent Nature,2024,6.2,132,94,R
Late Night with the Devil,2023,7.0,157,309,PG-13
The Iron Claw,2023,7.6,105,23,R
The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.7,104,13,PG-13
X,2022,6.5,104,711,PG-13
Love Lies Bleeding,2024,6.7,116,135,R
Practical Magic,1998,6.3,142,20,PG-13
Nocturnal Animals,2016,7.5,92,72,PG-13
Chandu Champion,2024,8.5,130,271,PG-13
Tarot,2024,4.8,121,37,PG-13
Top Gun: Maverick,2022,8.2,122,364,R
Road House,2024,6.2,100,17,R
Twisters,2024,,123,446,R
A Quiet Place: Day One,2024,,116,0,R
The Boys in the Boat,2023,7.0,130,230,R
Madame Web,2024,3.9,147,505,PG
The Lord of the Rings: The War of the Rohirrim,2024,,163,95,PG-13
Bad Boys II,2003,6.6,99,52,PG-13
Bade Miyan Chote Miyan,2024,4.1,111,104,R
Wild Eyed and Wicked,2023,3.5,127,0,R
Boy Kills World,2023,6.4,142,0,PG-13
Bullet Train,2022,7.3,130,0,PG-13
The Shawshank Redemption,1994,9.3,95,214,TV-MA
Dogma,1999,7.3,102,53,R
Despicable Me 4,2024,6.3,115,0,R
Be Kind Rewind,2008,6.4,101,47,R
Ghostbusters: Frozen Empire,2024,6.1,105,0,R
Longlegs,2024,,178,0,R
The Beekeeper,2024,6.4,169,857,R
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,111,0,PG
Interstellar,2014,8.7,131,27,PG-13
Colors of Evil: Red,2024,6.3,121,344,PG
Saltburn,2023,7.0,175,0,Not Rated
Monkey Man,2024,6.9,110,550,PG-13
The Godfather,1972,9.2,189,229,R
St. Elmo's Fire,1985,6.4,92,216,PG-13
The Green Mile,1999,8.6,161,0,PG-13
Die Hart 2: Die Harter,2024,4.2,113,0,R
Once Upon a Time... in Hollywood,2019,7.6,97,102,R
Unsung Hero,2024,7.2,92,0,PG-13
Unfrosted,2024,5.5,93,408,R
Beetlejuice,1988,7.5,114,80,R
Winnie-the-Pooh: Blood and Honey 2,2024,4.6,88,97,PG-13
Barbie,2023,6.8,113,60,R
